state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Alaska (EV: 3),2020-11-04 18:40:57.265000,Trump,Biden,108231,56849,51382,193975,39556,38323,0.7105915507658587,0.2894084492341414,360,441,0.6122421485388717,0.05837106948051096,0.2894084492341414,{},172031
Alaska (EV: 3),2020-11-04 13:28:22.084000,Trump,Biden,80999,45758,35241,233531,0,0,0,0,201,441,0.5538710790583607,-0.44612892094163925,,{},132475
Alabama (EV: 9),2020-11-06 22:26:37.126000,Trump,Biden,1434159,843473,590686,-56802,12684,12548,0.2864201466369143,0.7135798533630857,1969,2069,0,0,0.4486,{'Tuscaloosa': 12684},2309900
Alabama (EV: 9),2020-11-06 18:40:11.567000,Trump,Biden,1430565,834519,596046,-44118,-408,-424,-0.0589622641509433,1.0589622641509433,1962,2069,0,0,0.4911333333333333,{},2297216
Alabama (EV: 9),2020-11-04 21:12:19.926000,Trump,Biden,1430540,834968,595572,-44526,153,10,0.30000000000000004,0.7,1961,2069,0,0,0.49446666666666667,"{'Choctaw': 41, 'Etowah': 102, 'Monroe': 10}",2297624
Alabama (EV: 9),2020-11-04 21:00:38.222000,Trump,Biden,1430537,834961,595576,-44373,2948,2938,0.5922396187882913,0.40776038121170866,1961,2069,0,0,0.4945,"{'Jackson': 2635, 'Mobile': 313}",2297471
Alabama (EV: 9),2020-11-04 20:28:27.938000,Trump,Biden,1428797,833763,595034,-41425,67,54,-18.703703703703702,19.703703703703702,1958,2069,0,0,0.5352,{'Marshall': 67},2294523
Alabama (EV: 9),2020-11-04 20:23:38.149000,Trump,Biden,1429807,832699,597108,-41358,14975,13958,0.8688923914600946,0.13110760853990544,1958,2069,0,0,0.5012,"{'Clay': 9, 'Mobile': 504, 'Montgomery': 375, 'Tallapoosa': 2805, 'Washington': 9, 'Winston': 11273}",2294456
Alabama (EV: 9),2020-11-04 17:16:47.676000,Trump,Biden,1417679,830869,586810,-26383,49226,48782,0.17678651961789182,0.8232134803821082,1937,2069,0,-14.027814247380245,0.8232134803821082,{'Jefferson': 49226},2279481
Alabama (EV: 9),2020-11-04 13:28:22.084000,Trump,Biden,1409055,790711,618344,22843,0,0,0,0,1912,2069,14.027814247380245,13.027814247380245,,{},2230255
Arkansas (EV: 6),2020-11-07 15:17:32.186000,Trump,Biden,761251,420985,340266,33235,8874,8518,0.6375909837990139,0.36240901620098614,2401,2579,5.604881306062358,1.1065807100447405,0.3290246371920351,"{'Clark': 3877, 'Hempstead': 4997}",1216818
Arkansas (EV: 6),2020-11-06 20:08:18.087000,Trump,Biden,755820,417898,337922,42109,6,6,0.8333333333333334,0.16666666666666666,2401,2579,4.498300596017618,0.0006192038343266759,0.31555513452065176,{'Pike': 6},1207944
Arkansas (EV: 6),2020-11-06 19:30:23.013000,Trump,Biden,755815,417897,337918,42115,-4997,-4763,0.7566659668276297,0.24333403317237035,2401,2579,4.497681392183291,-0.5729913516280352,0.3366578963470599,{},1207938
Arkansas (EV: 6),2020-11-06 19:13:48.402000,Trump,Biden,759419,419056,340363,37118,-3877,-3755,0.48655126498002665,0.5134487350199733,2401,2579,5.070672743811326,-0.5332243296148205,0.27277966687798977,{},1212935
Arkansas (EV: 6),2020-11-06 18:51:26.274000,Trump,Biden,761246,420984,340262,33241,-3000,-3000,1.0,-0.0,2398,2579,5.603897073426147,-0.557368418352481,0.36788909753672816,{},1216812
Arkansas (EV: 6),2020-11-05 21:53:18.781000,Trump,Biden,764246,420984,343262,30241,6119,5833,0.5919766843819647,0.40802331561803534,2398,2579,6.161265491778628,0.9698249637071683,0.3155974604377902,"{'Clark': 3877, 'Hempstead': 2242}",1219812
Arkansas (EV: 6),2020-11-05 21:29:17.300000,Trump,Biden,760793,418604,342189,36360,232,224,0.5580357142857143,0.4419642857142857,2398,2579,5.1914405280714595,0.03018884738549321,0.28029856609703396,{'Garland': 232},1213693
Arkansas (EV: 6),2020-11-05 16:37:47.993000,Trump,Biden,760668,418505,342163,36592,1,1,1.0,0.0,2398,2579,5.161251680685966,0.00014144251394476726,0.27789221875207654,{'Miller': 1},1213461
Arkansas (EV: 6),2020-11-05 16:08:12.562000,Trump,Biden,760667,418505,342162,36593,146,140,0.6357142857142857,0.36428571428571427,2398,2579,5.1611102381720215,0.019095686612958573,0.27791068580542266,{'Miller': 146},1213460
Arkansas (EV: 6),2020-11-04 23:49:45.306000,Trump,Biden,760578,418454,342124,36739,1832,1804,0.3314855875831486,0.6685144124168514,2398,2579,5.142014551559063,0.21328019436536216,0.2770995438690636,{'Carroll': 1832},1213314
Arkansas (EV: 6),2020-11-04 22:27:15.940000,Trump,Biden,759980,417248,342732,38571,3998,3901,0.8182517303255575,0.18174826967444246,2397,2579,4.928734357193701,0.4464371577658426,0.22321428571428573,{'Newton': 3998},1211482
Arkansas (EV: 6),2020-11-04 20:23:38.149000,Trump,Biden,756788,416539,340249,42569,176,174,0.5057471264367817,0.4942528735632184,2379,2579,4.482297199427858,0.016479737008987527,0.2407910463979137,{'Baxter': 176},1207484
Arkansas (EV: 6),2020-11-04 20:14:42.157000,Trump,Biden,756700,416453,340247,42745,85,84,0.8809523809523809,0.11904761904761904,2379,2579,4.465817462418871,0.008646316503178042,0.23590652342452098,{'Logan': 85},1207308
Arkansas (EV: 6),2020-11-04 18:56:14.325000,Trump,Biden,756626,416443,340183,42830,9123,8901,0.7637344118638355,0.23626558813616447,2379,2579,4.457171145915693,0.742567440258528,0.23700391280044716,{'White': 9123},1207223
Arkansas (EV: 6),2020-11-04 17:24:40.785000,Trump,Biden,749828,414340,335488,51953,24,23,0.782608695652174,0.21739130434782608,2352,2579,3.7146037056571646,0.0016157800468019623,0.38636363636363635,{'Franklin': 24},1198100
Arkansas (EV: 6),2020-11-04 14:40:19.159000,Trump,Biden,749810,414335,335475,51977,21,21,0.4285714285714286,0.5714285714285714,2352,2579,3.7129879256103626,0.0012747226059599548,0.5714285714285714,{'Desha': 21},1198076
Arkansas (EV: 6),2020-11-04 13:28:22.084000,Trump,Biden,749801,414323,335478,51998,0,0,0,0,2352,2579,3.7117132030044027,2.7117132030044027,,{},1198055
Arizona (EV: 11),2020-11-08 19:32:33.789000,Biden,Trump,1633181,1613833,19348,117787,3038,2995,0.6327212020033389,0.3672787979966611,1471,1489,0.5743108824346302,0.0053556607077870355,0.5641,{'Apache': 3038},3298607
Arizona (EV: 11),2020-11-08 17:39:24.168000,Biden,Trump,1631286,1612733,18553,120825,244,239,0.38075313807531386,0.6192468619246861,1467,1489,0.5689552217268432,-8.084904157268369e-05,0.5853666666666667,{'Navajo': 244},3295569
Arizona (EV: 11),2020-11-08 02:21:07.053000,Biden,Trump,1631195,1612585,18610,121069,2279,2239,0.47699866011612324,0.5230013398838768,1467,1489,0.5690360707684159,0.0010018451040230136,0.5850666666666666,{'Apache': 2279},3295325
Arizona (EV: 11),2020-11-08 01:03:56.554000,Biden,Trump,1630127,1611414,18713,123348,7119,6925,0.3212996389891697,0.6787003610108303,1464,1489,0.5680342256643929,-0.005358694262474706,0.5893666666666667,{'Pinal': 7119},3293046
Arizona (EV: 11),2020-11-07 21:31:25.705000,Biden,Trump,1627902,1606714,21188,130467,1022,1010,0.8336633663366336,0.16633663366336635,1464,1489,0.5733929199268676,0.0031946874478779863,0.5666666666666667,{'Apache': 1022},3285927
Arizona (EV: 11),2020-11-07 20:09:53.566000,Biden,Trump,1627060,1606546,20514,131489,303,293,0.39931740614334466,0.6006825938566553,1463,1489,0.5701982324789896,-4.529647830686656e-05,0.5806,{'Coconino': 303},3284905
Arizona (EV: 11),2020-11-07 16:03:57.371000,Biden,Trump,1626943,1606370,20573,131792,40407,46505,0.419589291474035,0.580410708525965,1463,1489,0.5702435289572965,-0.002364177296595882,0.580410708525965,{'Maricopa': 47870},3284602
Arizona (EV: 11),2020-11-07 16:01:43.045000,Biden,Trump,1607430,1579378,28052,172199,1750,1719,0.5258871436881908,0.4741128563118092,1463,1489,0.5726077062538923,0.001075259400813433,0.5658,{'Yuma': 1750},3244195
Arizona (EV: 11),2020-11-07 15:45:35.768000,Biden,Trump,1606526,1578563,27963,173949,6995,6816,0.360768779342723,0.639231220657277,1463,1489,0.5715324468530789,-0.002146013045874584,0.5701333333333334,{'Pinal': 6995},3242445
Arizona (EV: 11),2020-11-07 02:24:13.261000,Biden,Trump,1604067,1574206,29861,180944,0,0,0,0,1462,1489,0.5736784598989535,-0.0038169340187806933,0.5498,{},3235450
Arizona (EV: 11),2020-11-07 02:12:08.623000,Biden,Trump,1604067,1574206,29861,172944,7463,0,0,0,1462,1489,0.5774953939177342,0.0024357661769898176,0.5498,{'Maricopa': 7463},3235450
Arizona (EV: 11),2020-11-07 02:02:37.666000,Biden,Trump,1604067,1574206,29861,180407,71932,69821,0.450194067687372,0.549805932312628,1462,1489,0.5750596277407444,0.00965167835827152,0.549805932312628,{'Maricopa': 71932},3227987
Arizona (EV: 11),2020-11-07 01:28:19.231000,Biden,Trump,1572634,1535818,36816,252339,612,595,0.4840336134453781,0.5159663865546219,1462,1489,0.5654079493824729,0.00013770921428246652,0.6159,{'Coconino': 612},3156055
Arizona (EV: 11),2020-11-07 00:43:16.391000,Biden,Trump,1572346,1535511,36835,252951,2976,2866,0.2173761339846476,0.7826238660153524,1461,1489,0.5652702401681904,-0.002328629436493479,0.6140666666666666,{'Yavapai': 2976},3155443
Arizona (EV: 11),2020-11-06 23:43:16.543000,Biden,Trump,1571723,1533268,38455,255927,2172,2099,0.35350166746069556,0.6464983325393044,1460,1489,0.5675988696046839,-0.0005655604598787667,0.5873,{'Cochise': 2172},3152467
Arizona (EV: 11),2020-11-06 23:33:12.711000,Biden,Trump,1570981,1531911,39070,258099,0,0,0,0,1458,1489,0.5681644300645626,-0.016064803393251115,0.5790666666666666,{},3150295
Arizona (EV: 11),2020-11-06 23:16:34.639000,Biden,Trump,1570981,1531911,39070,212909,204,202,0.3366336633663366,0.6633663366336634,1458,1489,0.5842292334578137,-6.684831195225005e-05,0.5790666666666666,{'Gila': 204},3150295
Arizona (EV: 11),2020-11-06 23:13:45.463000,Biden,Trump,1570913,1531777,39136,213113,8881,6992,0.47940503432494275,0.5205949656750573,1458,1489,0.584296081769766,0.002745231255309011,0.5781666666666667,{'Pima': 7649},3150091
Arizona (EV: 11),2020-11-06 23:07:08.306000,Biden,Trump,1567561,1528137,39424,221994,4846,4698,0.5025542784163474,0.49744572158365263,1453,1489,0.581550850514457,0.0019374381517912598,0.5801333333333333,{'Yuma': 4846},3141210
Arizona (EV: 11),2020-11-06 22:24:11.877000,Biden,Trump,1565200,1525800,39400,226840,1031,1003,0.3160518444666002,0.6839481555333998,1451,1489,0.5796134123626657,-0.00041882485449262763,0.5850666666666666,{'Navajo': 1031},3136364
Arizona (EV: 11),2020-11-06 20:30:39.158000,Biden,Trump,1564883,1525114,39769,227871,6666,6551,0.40955579300870093,0.5904442069912991,1451,1489,0.5800322372171584,-4.906900777412737e-05,0.5799,{'Pinal': 6666},3135333
Arizona (EV: 11),2020-11-06 19:53:53.320000,Biden,Trump,1562200,1521246,40954,234537,1086,1066,0.3367729831144465,0.6632270168855535,1446,1489,0.5800813062249325,-0.00033674728754562455,0.5664666666666667,{'Navajo': 1086},3128667
Arizona (EV: 11),2020-11-06 19:25:09.947000,Biden,Trump,1561841,1520539,41302,235623,3957,3865,0.17956015523932733,0.8204398447606727,1446,1489,0.5804180535124781,-0.003727467850701216,0.5617,{'Mohave': 3957},3127581
Arizona (EV: 11),2020-11-06 17:05:29.263000,Biden,Trump,1561147,1517368,43779,239580,0,0,0,0,1446,1489,0.5841455213631793,0.0032665041807007356,0.5241666666666667,{},3123624
Arizona (EV: 11),2020-11-06 17:01:42.952000,Biden,Trump,1561147,1517368,43779,248463,0,0,0,0,1446,1489,0.5808790171824786,-0.005228267793491392,0.5241666666666667,{},3123624
Arizona (EV: 11),2020-11-06 16:32:19.121000,Biden,Trump,1561147,1517368,43779,234544,0,0,0,0,1446,1489,0.58610728497597,0.004295166082279422,0.5241666666666667,{},3123624
Arizona (EV: 11),2020-11-06 16:13:06.432000,Biden,Trump,1561147,1517368,43779,245859,1386,1390,0.5755395683453237,0.4244604316546763,1446,1489,0.5818121188936906,0.0009276234176391895,0.5241666666666667,{'Santa Cruz': 1409},3123624
Arizona (EV: 11),2020-11-06 16:03:11.367000,Biden,Trump,1560347,1516778,43569,247245,61789,60053,0.47100061612242516,0.5289993838775748,1445,1489,0.5808844954760514,0.01184365489108996,0.5289993838775748,{'Maricopa': 61789},3122238
Arizona (EV: 11),2020-11-06 05:33:02.003000,Biden,Trump,1532062,1485010,47052,309034,5713,5521,0.5348668719434885,0.4651331280565115,1423,1489,0.5690408405849614,0.0019752270197038735,0.5423,{'Coconino': 5713},3060449
Arizona (EV: 11),2020-11-06 03:37:12.105000,Biden,Trump,1529109,1482442,46667,314747,1180,1170,0.6752136752136753,0.3247863247863248,1417,1489,0.5670656135652575,0.0009268721729074336,0.5618666666666666,{'Apache': 1180},3054736
Arizona (EV: 11),2020-11-06 02:07:55.159000,Biden,Trump,1528319,1482062,46257,315927,75314,73976,0.4285173569806424,0.5714826430193576,1415,1489,0.5661387413923501,0.0005308131102572666,0.5714826430193576,{'Maricopa': 75314},3053556
Arizona (EV: 11),2020-11-06 01:44:07.375000,Biden,Trump,1496619,1439786,56833,391241,0,0,0,0,1386,1489,0.5656079282820928,-0.002929625971647476,0.5175,{},2978242
Arizona (EV: 11),2020-11-06 01:33:55.993000,Biden,Trump,1496619,1439786,56833,376072,1957,1965,0.24274809160305344,0.7572519083969466,1386,1489,0.5685375542537403,-0.0009400669118118099,0.5175,{'Gila': 2023},2978242
Arizona (EV: 11),2020-11-06 01:15:19.823000,Biden,Trump,1496142,1438298,57844,378029,2485,2461,0.7635107679804958,0.23648923201950425,1383,1489,0.5694776211655521,0.00220575474110829,0.5024,"{'Apache': 2223, 'Pinal': 262}",2976285
Arizona (EV: 11),2020-11-06 01:04:29.192000,Biden,Trump,1494263,1437716,56547,380514,28344,27529,0.4738639253151222,0.5261360746848778,1380,1489,0.5672718664244438,0.003320607619939686,0.5306666666666666,{'Pima': 28344},2973800
Arizona (EV: 11),2020-11-06 00:55:18.438000,Biden,Trump,1481218,1423232,57986,408858,5990,5963,0.41891665269159817,0.5810833473084018,1366,1489,0.5639512588045041,-0.00013199278499320677,0.6641666666666667,{'Cochise': 6136},2945456
Arizona (EV: 11),2020-11-06 00:46:52.571000,Biden,Trump,1478720,1419767,58953,414848,5169,4975,0.2661306532663317,0.7338693467336683,1362,1489,0.5640832515894973,-0.0019164711477721585,0.6626,{'Yavapai': 5169},2939466
Arizona (EV: 11),2020-11-06 00:35:53.742000,Biden,Trump,1477396,1416116,61280,420017,7456,7331,0.23407447824307737,0.7659255217569226,1361,1489,0.5659997227372695,-0.0032917853135278063,0.6384666666666666,"{'Mohave': 5833, 'Navajo': 1623}",2934297
Arizona (EV: 11),2020-11-05 23:07:42.238000,Biden,Trump,1475680,1410501,65179,427473,12227,12039,0.386743084973835,0.613256915026165,1359,1489,0.5692915080507973,-0.00098410666895965,0.5950666666666666,"{'Coconino': 4225, 'Pinal': 8002}",2926841
Arizona (EV: 11),2020-11-05 22:27:06.099000,Biden,Trump,1471024,1403118,67906,439700,0,0,0,0,1352,1489,0.570275614719757,0.0017171126997510555,0.5850666666666666,{},2914614
Arizona (EV: 11),2020-11-05 20:55:45.764000,Biden,Trump,1471024,1403118,67906,449700,1185,1151,0.40312771503040834,0.5968722849695917,1352,1489,0.5685585020200059,-5.187230635739226e-05,0.5850666666666666,{'Navajo': 1185},2914614
Arizona (EV: 11),2020-11-05 19:53:24.061000,Biden,Trump,1470560,1402431,68129,450885,184,180,0.19444444444444442,0.8055555555555556,1352,1489,0.5686103743263633,-9.136228956752035e-05,0.5847333333333333,{'Graham': 184},2913429
Arizona (EV: 11),2020-11-05 19:49:33.652000,Biden,Trump,1470525,1402286,68239,451069,632,622,0.229903536977492,0.770096463022508,1351,1489,0.5687017366159308,-0.00026630417581574584,0.5834333333333334,{'Greenlee': 639},2913245
Arizona (EV: 11),2020-11-05 19:21:26.906000,Biden,Trump,1470382,1401807,68575,451701,1936,1897,0.5487612018977333,0.45123879810226675,1350,1489,0.5689680407917466,0.0005257764958891409,0.5796666666666667,{'Yuma': 1936},2912613
Arizona (EV: 11),2020-11-05 07:45:16.653000,Biden,Trump,1469341,1400951,68390,453637,0,0,0,0,1349,1489,0.5684422642958574,0.0,0.5883333333333334,{},2910677
Arizona (EV: 11),2020-11-05 07:43:01.704000,Biden,Trump,1469341,1400951,68390,453637,62002,61039,0.41167122659283406,0.5883287734071659,1325,1489,0.5684422642958574,-0.0014101121720346832,0.5883287734071659,{'Maricopa': 62002},2910677
Arizona (EV: 11),2020-11-05 02:53:07.128000,Biden,Trump,1444213,1365040,79173,515639,0,0,0,0,1325,1489,0.5698523764678921,0.0009557153729831125,0.5918333333333333,{},2848675
Arizona (EV: 11),2020-11-05 02:19:13.643000,Biden,Trump,1444213,1365040,79173,522139,0,0,0,0,1325,1489,0.568896661094909,-0.0046216222453377975,0.5918333333333333,{},2848675
Arizona (EV: 11),2020-11-05 02:03:34.937000,Biden,Trump,1444213,1365040,79173,492139,75537,74288,0.4081682102089167,0.5918317897910833,1325,1489,0.5735182833402468,-0.0013508191226790922,0.5918317897910833,{'Maricopa': 75537},2848675
Arizona (EV: 11),2020-11-05 00:44:49.776000,Biden,Trump,1413891,1321074,92817,567676,5614,5511,0.48194520050807477,0.5180547994919252,1296,1489,0.5748691024629259,0.0006223554249754626,0.6281333333333333,{'Pima': 5614},2773138
Arizona (EV: 11),2020-11-04 23:49:45.306000,Biden,Trump,1411235,1318219,93016,573290,0,0,0,0,1294,1489,0.5742467470379504,0.03635182095530931,0.6522,{},2767524
